id,adt,chd0,chd6,tariff_id
ff3f1025-6e4a-4848-b83d-da721fc0df8c,300,0,150,Day-Use 2023 - Tradicional - MDS
5f5e46c3-d29e-4220-b912-8ba06b2d3114,450,0,225,Day-Use 2023 - Full - FDS
f93b5738-e4f7-4071-9aad-ea81f87603ba,400,0,200,Day-Use 2023 - Full - MDS
5baa05ab-fb0c-49a9-956c-a5e01d92f0b0,330,0,165,Day-Use 2023 - Tradicional - FDS
